category,amount,expense_date,description
Shipping,4957.41,2025-09-25,Shipping expense #1
Office Supplies,1080.06,2025-09-05,Office Supplies expense #2
Operations,6463.17,2025-05-08,Operations expense #3
Operations,6591.97,2026-02-04,Operations expense #4
Marketing,4891.26,2026-03-17,Marketing expense #5
Shipping,2519.03,2026-07-27,Shipping expense #6
Utilities,1317.52,2025-08-23,Utilities expense #7
Shipping,4433.97,2025-05-09,Shipping expense #8
Rent,5498.72,2025-05-05,Rent expense #9
Rent,11672.35,2025-01-26,Rent expense #10
Software,3283.73,2026-08-25,Software expense #11
Office Supplies,768.35,2026-01-15,Office Supplies expense #12
Software,2904.71,2026-02-15,Software expense #13
Operations,601.24,2026-07-02,Operations expense #14
Utilities,1093.36,2025-10-31,Utilities expense #15
Software,2177.69,2025-01-06,Software expense #16
Office Supplies,1224.4,2025-09-01,Office Supplies expense #17
Shipping,3690.42,2026-05-02,Shipping expense #18
Rent,14491.41,2026-02-09,Rent expense #19
Salaries,11155.97,2026-08-21,Salaries expense #20
Marketing,4487.79,2025-05-10,Marketing expense #21
Rent,14834.03,2025-06-27,Rent expense #22
Marketing,8268.26,2025-01-08,Marketing expense #23
Marketing,1731.44,2025-04-24,Marketing expense #24
Rent,4811.8,2025-12-01,Rent expense #25
Operations,1751.42,2025-03-14,Operations expense #26
Office Supplies,1745.5,2025-09-22,Office Supplies expense #27
Shipping,911.75,2026-06-11,Shipping expense #28
Software,203.98,2025-03-31,Software expense #29
Salaries,16137.53,2026-07-24,Salaries expense #30
Office Supplies,1232.22,2025-07-17,Office Supplies expense #31
Marketing,9358.61,2026-01-20,Marketing expense #32
Rent,9258.78,2026-07-29,Rent expense #33
Software,442.8,2025-07-21,Software expense #34
Office Supplies,999.68,2025-09-28,Office Supplies expense #35
Operations,6666.47,2026-05-21,Operations expense #36
Rent,13416.86,2025-09-08,Rent expense #37
Utilities,1894.21,2026-01-07,Utilities expense #38
Salaries,7149.57,2025-03-13,Salaries expense #39
Salaries,19939.37,2025-03-15,Salaries expense #40
Rent,6346.55,2025-01-22,Rent expense #41
Rent,13041.42,2025-03-25,Rent expense #42
Operations,2998.64,2025-05-05,Operations expense #43
Marketing,2542.06,2025-08-17,Marketing expense #44
Office Supplies,1399.78,2026-02-28,Office Supplies expense #45
Software,1597.75,2026-03-23,Software expense #46
Utilities,2308.73,2025-07-13,Utilities expense #47
Shipping,2215.68,2026-08-29,Shipping expense #48
Rent,7013.07,2026-04-19,Rent expense #49
Salaries,8830.58,2025-09-07,Salaries expense #50
Shipping,3636.83,2026-08-15,Shipping expense #51
Salaries,21617.68,2025-08-22,Salaries expense #52
Salaries,20053.69,2025-05-24,Salaries expense #53
Operations,6424.81,2026-02-16,Operations expense #54
Rent,13768.7,2025-06-29,Rent expense #55
Operations,4290.63,2025-09-04,Operations expense #56
Utilities,2160.45,2026-08-05,Utilities expense #57
Salaries,10321.36,2025-06-19,Salaries expense #58
Office Supplies,538.83,2026-03-01,Office Supplies expense #59
Office Supplies,1392.21,2026-06-17,Office Supplies expense #60
Rent,12434.18,2025-09-12,Rent expense #61
Rent,9580.25,2026-07-10,Rent expense #62
Shipping,1718.27,2025-04-29,Shipping expense #63
Software,352.9,2025-08-16,Software expense #64
Marketing,7576.0,2025-09-21,Marketing expense #65
Marketing,4389.32,2026-06-17,Marketing expense #66
Operations,1053.62,2026-05-27,Operations expense #67
Utilities,1845.46,2025-12-08,Utilities expense #68
Rent,11684.6,2025-02-27,Rent expense #69
Operations,3949.2,2025-06-20,Operations expense #70
Salaries,20679.0,2025-02-23,Salaries expense #71
Shipping,3518.45,2026-08-14,Shipping expense #72
Office Supplies,1722.7,2025-01-17,Office Supplies expense #73
Operations,1593.94,2025-08-30,Operations expense #74
Salaries,20067.52,2026-02-27,Salaries expense #75
Rent,11973.3,2026-02-11,Rent expense #76
Salaries,8234.45,2025-08-10,Salaries expense #77
Office Supplies,223.18,2026-06-05,Office Supplies expense #78
Salaries,15582.31,2025-01-07,Salaries expense #79
Operations,3544.65,2025-12-19,Operations expense #80
Operations,6806.11,2025-08-21,Operations expense #81
Software,2185.43,2026-08-08,Software expense #82
Operations,6042.65,2026-01-03,Operations expense #83
Utilities,448.39,2025-11-20,Utilities expense #84
Office Supplies,1323.68,2025-05-30,Office Supplies expense #85
Shipping,599.08,2025-10-03,Shipping expense #86
Software,3459.21,2026-05-06,Software expense #87
Marketing,3246.28,2026-04-12,Marketing expense #88
Rent,5632.59,2026-06-25,Rent expense #89
Rent,14536.26,2025-12-30,Rent expense #90
Rent,5144.8,2026-04-20,Rent expense #91
Utilities,2385.76,2025-06-14,Utilities expense #92
Salaries,8489.87,2025-10-26,Salaries expense #93
Marketing,6882.05,2025-02-01,Marketing expense #94
Rent,14518.65,2026-01-06,Rent expense #95
Salaries,14826.62,2025-02-02,Salaries expense #96
Office Supplies,1790.18,2025-06-20,Office Supplies expense #97
Salaries,13691.7,2026-07-27,Salaries expense #98
Salaries,18589.31,2025-08-17,Salaries expense #99
Operations,4939.19,2025-02-10,Operations expense #100
Software,474.64,2026-06-19,Software expense #101
Software,2563.69,2026-03-28,Software expense #102
Office Supplies,1026.11,2025-12-28,Office Supplies expense #103
Salaries,5045.38,2025-06-02,Salaries expense #104
Marketing,1517.4,2025-05-17,Marketing expense #105
Marketing,6964.63,2026-04-05,Marketing expense #106
Operations,2147.0,2025-05-22,Operations expense #107
Rent,11500.66,2025-03-13,Rent expense #108
Operations,4484.97,2025-06-14,Operations expense #109
Software,2276.46,2026-03-17,Software expense #110
Shipping,995.8,2025-12-01,Shipping expense #111
Utilities,1030.44,2025-12-02,Utilities expense #112
Marketing,11518.34,2025-01-20,Marketing expense #113
Marketing,6548.6,2025-03-24,Marketing expense #114
Office Supplies,1307.01,2025-11-07,Office Supplies expense #115
Rent,13648.25,2025-05-12,Rent expense #116
Marketing,944.09,2025-08-01,Marketing expense #117
Marketing,11955.56,2026-03-05,Marketing expense #118
Salaries,9090.66,2025-05-18,Salaries expense #119
Salaries,17678.98,2025-02-09,Salaries expense #120
Software,209.31,2026-06-26,Software expense #121
Office Supplies,1260.76,2025-07-14,Office Supplies expense #122
Software,3486.02,2025-10-09,Software expense #123
Software,2095.24,2025-12-05,Software expense #124
Salaries,19440.15,2026-03-22,Salaries expense #125
Marketing,10482.05,2026-07-28,Marketing expense #126
Rent,11804.11,2025-04-25,Rent expense #127
Shipping,2254.63,2025-08-15,Shipping expense #128
Rent,13197.63,2026-03-13,Rent expense #129
Office Supplies,115.72,2026-04-28,Office Supplies expense #130
Marketing,3647.48,2025-07-31,Marketing expense #131
Office Supplies,209.27,2025-10-13,Office Supplies expense #132
Rent,5095.49,2025-01-20,Rent expense #133
Office Supplies,1086.48,2026-02-05,Office Supplies expense #134
Marketing,8480.67,2025-01-05,Marketing expense #135
Office Supplies,1440.92,2025-10-22,Office Supplies expense #136
Marketing,1918.35,2025-12-06,Marketing expense #137
Operations,3146.91,2025-04-08,Operations expense #138
Rent,13131.49,2025-05-27,Rent expense #139
Marketing,7367.1,2025-06-24,Marketing expense #140
Shipping,815.32,2025-10-30,Shipping expense #141
Utilities,2099.86,2025-01-07,Utilities expense #142
Rent,5085.87,2026-02-22,Rent expense #143
Shipping,1817.01,2025-07-19,Shipping expense #144
Utilities,1119.45,2025-06-16,Utilities expense #145
Salaries,7263.71,2025-09-08,Salaries expense #146
Marketing,4433.02,2026-07-20,Marketing expense #147
Software,3447.55,2026-07-16,Software expense #148
Office Supplies,499.52,2026-04-01,Office Supplies expense #149
Marketing,11492.05,2025-10-05,Marketing expense #150
Operations,6967.88,2025-11-10,Operations expense #151
Utilities,1941.53,2025-06-28,Utilities expense #152
Utilities,402.79,2025-07-23,Utilities expense #153
Shipping,800.1,2025-04-20,Shipping expense #154
Salaries,18890.21,2025-12-04,Salaries expense #155
Rent,13183.06,2025-11-24,Rent expense #156
Operations,5076.81,2026-04-20,Operations expense #157
Salaries,11831.72,2026-07-20,Salaries expense #158
Shipping,4920.08,2025-08-15,Shipping expense #159
Marketing,11656.94,2025-10-10,Marketing expense #160
Office Supplies,1644.41,2025-01-21,Office Supplies expense #161
Marketing,8715.03,2026-01-03,Marketing expense #162
Operations,1265.26,2026-08-31,Operations expense #163
Rent,4741.48,2026-07-11,Rent expense #164
Salaries,8027.54,2025-11-13,Salaries expense #165
Utilities,2406.01,2025-08-14,Utilities expense #166
Office Supplies,1223.28,2025-12-03,Office Supplies expense #167
Salaries,5768.32,2026-01-09,Salaries expense #168
Rent,8872.5,2025-12-28,Rent expense #169
Operations,4397.3,2026-04-01,Operations expense #170
Shipping,3482.94,2025-04-01,Shipping expense #171
Software,260.46,2026-04-05,Software expense #172
Utilities,1329.02,2025-11-09,Utilities expense #173
Operations,6181.32,2025-05-27,Operations expense #174
Shipping,666.87,2025-11-29,Shipping expense #175
Marketing,6954.31,2026-02-03,Marketing expense #176
Operations,6425.16,2026-01-01,Operations expense #177
Shipping,4421.42,2025-02-09,Shipping expense #178
Salaries,6976.86,2025-06-21,Salaries expense #179
Software,1450.42,2025-07-30,Software expense #180
Rent,4668.67,2026-06-19,Rent expense #181
Software,1098.57,2026-06-11,Software expense #182
Shipping,867.05,2026-03-20,Shipping expense #183
Software,223.21,2026-06-04,Software expense #184
Office Supplies,763.71,2026-05-23,Office Supplies expense #185
Shipping,3801.58,2025-04-19,Shipping expense #186
Operations,4252.55,2026-08-09,Operations expense #187
Operations,1183.36,2025-05-10,Operations expense #188
Rent,14285.45,2025-12-03,Rent expense #189
Software,1918.87,2025-08-14,Software expense #190
Utilities,2241.53,2026-05-13,Utilities expense #191
Utilities,1914.54,2025-05-30,Utilities expense #192
Rent,9637.82,2026-07-29,Rent expense #193
Office Supplies,1419.1,2025-04-18,Office Supplies expense #194
Operations,3073.52,2026-08-13,Operations expense #195
Marketing,8771.76,2025-09-06,Marketing expense #196
Marketing,8024.56,2026-08-06,Marketing expense #197
Software,1838.26,2026-04-27,Software expense #198
Office Supplies,1429.12,2025-10-19,Office Supplies expense #199
Operations,4945.94,2025-11-17,Operations expense #200
Office Supplies,571.08,2025-09-16,Office Supplies expense #201
Operations,3119.45,2025-02-14,Operations expense #202
Rent,5489.81,2025-06-24,Rent expense #203
Office Supplies,1212.13,2025-12-18,Office Supplies expense #204
Operations,5897.24,2025-11-01,Operations expense #205
Shipping,3524.5,2026-08-05,Shipping expense #206
Office Supplies,524.13,2025-02-01,Office Supplies expense #207
Software,3238.98,2026-08-17,Software expense #208
Utilities,2400.57,2026-06-13,Utilities expense #209
Marketing,5975.09,2026-08-05,Marketing expense #210
Rent,8002.62,2026-08-10,Rent expense #211
Operations,3797.99,2025-11-18,Operations expense #212
Operations,2644.13,2025-08-17,Operations expense #213
Shipping,2047.48,2026-07-20,Shipping expense #214
Office Supplies,1793.2,2026-06-23,Office Supplies expense #215
Office Supplies,1251.22,2025-08-12,Office Supplies expense #216
Software,387.4,2026-05-16,Software expense #217
Shipping,4080.26,2026-03-30,Shipping expense #218
Operations,6722.46,2026-04-23,Operations expense #219
Software,1243.8,2025-04-07,Software expense #220
Marketing,6309.61,2025-01-27,Marketing expense #221
Software,1480.08,2026-07-02,Software expense #222
Salaries,8242.71,2025-06-10,Salaries expense #223
Utilities,921.55,2026-05-29,Utilities expense #224
Software,1549.04,2025-08-30,Software expense #225
Utilities,585.77,2026-08-25,Utilities expense #226
Utilities,1800.66,2026-07-22,Utilities expense #227
Salaries,8811.54,2025-02-14,Salaries expense #228
Rent,7465.67,2025-05-22,Rent expense #229
Operations,2046.3,2025-06-12,Operations expense #230
Shipping,1602.53,2025-12-05,Shipping expense #231
Salaries,9462.19,2026-04-07,Salaries expense #232
Software,660.86,2025-02-24,Software expense #233
Software,1083.87,2025-05-12,Software expense #234
Shipping,1637.09,2026-05-14,Shipping expense #235
Marketing,7353.79,2025-12-04,Marketing expense #236
Utilities,1109.92,2026-01-01,Utilities expense #237
Marketing,11028.37,2026-04-08,Marketing expense #238
Marketing,1258.69,2025-06-02,Marketing expense #239
Operations,2134.6,2025-04-27,Operations expense #240
