product_sku,current_stock,reorder_point
SKU-1001,138,12
SKU-1002,55,21
SKU-1003,134,41
SKU-1004,124,27
SKU-1005,149,12
SKU-1006,4,22
SKU-1007,100,40
SKU-1008,72,45
SKU-1009,8,19
SKU-1010,38,45
SKU-1011,100,44
SKU-1012,62,14
SKU-1013,11,25
SKU-1014,57,12
SKU-1015,4,17
SKU-1016,173,34
SKU-1017,67,17
SKU-1018,171,25
SKU-1019,4,10
SKU-1020,23,39
SKU-1021,26,17
SKU-1022,80,18
SKU-1023,168,34
SKU-1024,77,19
SKU-1025,143,36
SKU-1026,1,23
SKU-1027,2,24
SKU-1028,17,22
SKU-1029,143,17
SKU-1030,2,29
SKU-1031,21,31
SKU-1032,40,24
SKU-1033,113,17
SKU-1034,79,10
SKU-1035,128,12
SKU-1036,146,10
SKU-1037,98,13
SKU-1038,169,28
SKU-1039,134,39
SKU-1040,5,11
SKU-1041,69,34
SKU-1042,39,18
SKU-1043,153,40
SKU-1044,116,13
SKU-1045,56,11
SKU-1046,67,38
SKU-1047,14,43
SKU-1048,7,25
SKU-1049,157,35
SKU-1050,161,21
SKU-1051,12,29
SKU-1052,57,11
SKU-1053,89,38
SKU-1054,179,14
SKU-1055,89,12
SKU-1056,2,35
SKU-1057,6,15
SKU-1058,164,35
SKU-1059,24,36
SKU-1060,9,24
SKU-1061,15,11
SKU-1062,133,28
SKU-1063,143,29
SKU-1064,151,43
SKU-1065,0,26
SKU-1066,103,25
SKU-1067,13,11
SKU-1068,4,39
SKU-1069,124,38
SKU-1070,167,24
SKU-1071,152,29
SKU-1072,9,22
SKU-1073,28,16
SKU-1074,11,14
SKU-1075,13,37
SKU-1076,2,27
SKU-1077,73,27
SKU-1078,85,32
SKU-1079,114,37
SKU-1080,59,24
SKU-1081,77,43
SKU-1082,179,36
SKU-1083,41,33
SKU-1084,122,16
SKU-1085,54,11
SKU-1086,62,33
SKU-1087,79,13
SKU-1088,98,21
SKU-1089,54,32
SKU-1090,157,17
SKU-1091,29,39
SKU-1092,145,23
SKU-1093,177,37
SKU-1094,129,27
SKU-1095,50,19
SKU-1096,89,45
SKU-1097,84,34
SKU-1098,159,25
SKU-1099,168,40
SKU-1100,116,45
